City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,lerwick,60.1545,-1.1494,287.15,65,16,5.31,GB,1691429972
328,grand falls-windsor,48.9332,-55.6649,291.76,77,100,3.13,CA,1691429972
329,konstantinovka,49.6167,127.9833,288.59,72,56,1.79,RU,1691429973
330,anadyr,64.75,177.4833,283.43,93,40,5.0,RU,1691429973
331,trincomalee,8.5711,81.2335,299.68,75,74,2.99,LK,1691429974
332,alakurtti,66.9672,30.3491,288.17,76,74,5.21,RU,1691429974
333,ha'il,27.5219,41.6907,309.16,13,0,5.14,SA,1691429975
334,brokopondo,4.75,-55.1667,306.57,45,6,1.11,SR,1691429975
335,librazhd-qender,41.1969,20.3356,296.16,84,34,0.69,AL,1691429976
336,tsimasham,27.0989,89.536,290.59,99,100,0.59,BT,1691429976
337,uzgen,40.7699,73.3007,293.31,64,77,3.35,KG,1691429977
338,necochea,-38.5473,-58.7368,281.49,54,6,3.13,AR,1691429977
339,nishinoomote,30.7333,131.0,301.13,87,95,17.86,JP,1691429978
340,ciudad guayana,8.3533,-62.6528,306.77,62,42,0.76,VE,1691429787
341,itapetininga,-23.5917,-48.0531,304.32,20,25,3.37,BR,1691429978
342,thoen,17.6129,99.2161,296.76,98,100,0.95,TH,1691429979
343,brazzaville,-4.2658,15.2832,304.17,32,98,1.73,CG,1691429980
344,dzuunharaa,48.8523,106.4579,288.4,89,33,1.55,MN,1691429980
345,matoury,4.8483,-52.3317,305.13,58,11,6.69,GF,1691429981
346,palikir - national government center,6.9248,158.1611,297.56,100,100,1.54,FM,1691429981
347,egilsstadir,65.2653,-14.3948,287.1,35,0,4.63,IS,1691429982
348,kalmunai,7.4167,81.8167,300.84,79,94,3.35,LK,1691429982
349,san julian,21.0167,-102.1667,296.41,52,2,0.98,MX,1691429983
350,ambalangoda,6.2355,80.0538,299.54,87,95,4.63,LK,1691429984
351,sao jose da coroa grande,-8.8978,-35.1478,298.77,77,29,5.55,BR,1691429984
352,nadym,65.5333,72.5167,291.45,62,8,4.9,RU,1691429985
353,puerto santa,-8.9906,-78.6456,295.63,67,54,3.84,PE,1691429985
354,arvayheer,46.2639,102.775,288.06,70,48,0.7,MN,1691429985
355,watampone,-4.5386,120.3279,296.69,83,59,1.42,ID,1691429986
356,shakhtinsk,49.71,72.5872,293.37,40,74,5.12,KZ,1691429987
357,sayre,41.979,-76.5155,301.62,83,96,4.48,US,1691429987
358,waddan,29.1614,16.139,305.12,25,0,8.78,LY,1691429988
359,cidade velha,14.9167,-23.6167,304.41,55,20,7.2,CV,1691429989
